smiles,Predict ee (%)
COC1=CC(C(O2)(C3=CC(OC)=CC(OC)=C3)[C@H](C4CCCCC4)N=C2C5=CC=CC=C5P(C6=CC=C(C=CC=C7)C7=C6)C8=CC(C=CC=C9)=C9C=C8)=CC(OC)=C1,71
COC1=CC(C(O2)(C3=CC(OC)=CC(OC)=C3)[C@H](C4CCCCC4)N=C2C5=CC=CC=C5P(C6=C(C=CC=C7)C7=CC=C6)C8=C(C=CC=C9)C9=CC=C8)=CC(OC)=C1,30
CC1=CC(C)=CC(P(C2=CC(C)=CC(C)=C2)C3=CC=CC=C3C4=N[C@@H](C5CCCCC5)C(C6=CC(OC)=CC(OC)=C6)(C7=CC(OC)=CC(OC)=C7)O4)=C1,71
CC(C)(C)C1=CC(C(C)(C)C)=CC(P(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)C3=CC=CC=C3C4=N[C@@H](C5CCCCC5)C(C6=CC(OC)=CC(OC)=C6)(C7=CC(OC)=CC(OC)=C7)O4)=C1,70
FC(C1=CC(C(F)(F)F)=CC(P(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=CC=CC=C3C4=N[C@@H](C5CCCCC5)C(C6=CC(OC)=CC(OC)=C6)(C7=CC(OC)=CC(OC)=C7)O4)=C1)(F)F,33
CC(C=C1)=CC=C1P(C2=CC=C(C)C=C2)C3=CC=CC=C3C4=N[C@@H](C5CCCCC5)C(C6=CC(OC)=CC(OC)=C6)(C7=CC(OC)=CC(OC)=C7)O4,69
COC1=CC(C(O2)(C3=CC(OC)=CC(OC)=C3)[C@H](C4CCCCC4)N=C2C5=CC=CC=C5P(C6=CC=C(C7=CC=CC=C7)C=C6)C8=CC=C(C9=CC=CC=C9)C=C8)=CC(OC)=C1,71
CC(C)(C)C(C=C1)=CC=C1P(C2=CC=C(C(C)(C)C)C=C2)C3=CC=CC=C3C4=N[C@@H](C5CCCCC5)C(C6=CC(OC)=CC(OC)=C6)(C7=CC(OC)=CC(OC)=C7)O4,71
COC1=CC(C(O2)(C3=CC(OC)=CC(OC)=C3)[C@H](C4CCCCC4)N=C2C5=CC=CC=C5P(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)=CC(OC)=C1,71
FC(C=C1)=CC=C1P(C2=CC=C(F)C=C2)C3=CC=CC=C3C4=N[C@@H](C5CCCCC5)C(C6=CC(OC)=CC(OC)=C6)(C7=CC(OC)=CC(OC)=C7)O4,71
ClC(C=C1)=CC=C1P(C2=CC=C(Cl)C=C2)C3=CC=CC=C3C4=N[C@@H](C5CCCCC5)C(C6=CC(OC)=CC(OC)=C6)(C7=CC(OC)=CC(OC)=C7)O4,70
COC1=CC(C(O2)(C3=CC(OC)=CC(OC)=C3)[C@H](C4CCCCC4)N=C2C5=CC=CC=C5P(C6=CC=C(C(F)(F)F)C=C6)C7=CC=C(C(F)(F)F)C=C7)=CC(OC)=C1,30
